seg_id,time_to_failure
seg_00030f,4.315027399677281
seg_0012b5,4.898377907421999
seg_00184e,6.297530084332773
seg_003339,9.074958545707759
seg_0042cc,7.069632206426765
seg_004314,2.653365916641135
seg_004cd2,7.931152558012085
seg_004ee5,3.792767305006992
seg_004f1f,4.7064772904479435
seg_00648a,2.5499397115030895
seg_006e4a,2.808645078010186
seg_007a37,4.718306553388645
seg_00a37e,4.286423621026094
seg_00be11,2.888246226982883
seg_00c35b,8.687512153759268
seg_00cc91,4.316473650456364
seg_00e5f7,6.317245311724325
seg_00f3b9,3.541789397077667
seg_010eab,6.888546355554871
seg_0125d9,4.666510129854638
seg_0144cb,5.378717531786673
seg_0165c6,9.054986933259197
seg_016913,3.5888746190770178
seg_016cdb,4.764519540124702
seg_017314,6.704761907333195
seg_01a8dc,4.705757601916149
seg_01c775,8.069879358089802
seg_01ecb0,4.149436454355596
seg_02042f,2.7734436810010252
seg_025e78,5.539119578611006
seg_032822,4.259227760838937
seg_0339ca,5.000583843386551
seg_037461,4.259227760838937
seg_038879,7.907473933979785
seg_03d386,2.5583716538877246
seg_03d63e,4.714588221763125
seg_03d680,8.639487341378986
seg_03f380,3.8541527526893455
seg_0445d7,6.460706120083958
seg_046c28,2.410492617192862
seg_0488a1,6.476056949782551
seg_049957,9.000261818236691
seg_04a696,8.015482911030025
seg_04ae38,4.385354160186037
seg_04b87a,8.391358396110657
seg_04cceb,7.9790852559373775
seg_04ee93,7.830454422209239
seg_04fd93,7.230801112662087
seg_0536c9,4.294538136433408
seg_055127,6.281418212247255
seg_05a1b0,4.416004148260243
seg_05a4ad,7.755493161220924
seg_05b66a,8.932341497626124
seg_05bef4,2.5635587042541568
seg_05e0d7,3.8884968441525514
seg_05f126,8.662315454843709
seg_05f9d6,6.742310861189729
seg_060ce4,2.4672813984547544
seg_061a33,8.047843347851716
seg_0620e6,6.704580800818491
seg_063865,6.546427469852676
seg_065588,3.679528134409881
seg_06893f,2.902262231377388
seg_06b8c9,5.4582208135793415
seg_06bbc5,3.6916657747977375
seg_06d4a2,4.18653745945031
seg_06d7ba,3.142553349647863
seg_070bb0,2.146766240634693
seg_071067,3.5029133695314476
