seg_id,time_to_failure
seg_00030f,2.830634074985059
seg_0012b5,5.818785899250192
seg_00184e,5.431504109001091
seg_003339,9.820195289929998
seg_0042cc,6.589837080540136
seg_004314,1.498565262959643
seg_004cd2,8.708691528426808
seg_004ee5,4.797631903809697
seg_004f1f,4.407714950576674
seg_00648a,2.3510519406113475
seg_006e4a,1.9656342009674415
seg_007a37,4.301720211300912
seg_00a37e,2.9627781990957907
seg_00be11,1.7004757674333075
seg_00c35b,8.080032265123076
seg_00cc91,3.8158592374674334
seg_00e5f7,5.287562490993755
seg_00f3b9,2.6280299538958536
seg_010eab,7.084436487651715
seg_0125d9,4.664410159815495
seg_0144cb,6.131112751352033
seg_0165c6,9.78796974335354
seg_016913,3.588876149264994
seg_016cdb,5.08451638346117
seg_017314,6.558434147738474
seg_01a8dc,3.3447889153143655
seg_01c775,6.332537718128798
seg_01ecb0,3.0008728475185897
seg_02042f,1.9679349825663206
seg_025e78,4.963585464257503
seg_032822,3.8289598756449292
seg_0339ca,5.871429682287914
seg_037461,3.0610856731840945
seg_038879,7.610071635472221
seg_03d386,1.5639721685843757
seg_03d63e,4.885977653268997
seg_03d680,10.707775400858635
seg_03f380,1.5580243635303905
seg_0445d7,5.322724052321218
seg_046c28,2.1804746411794254
seg_0488a1,7.794490152620864
seg_049957,8.701566554486517
seg_04a696,7.653748857854511
seg_04ae38,4.448408133035501
seg_04b87a,9.044001914549558
seg_04cceb,8.246954834684145
seg_04ee93,7.334094052553354
seg_04fd93,6.071854288645256
seg_0536c9,3.2367340488874112
seg_055127,6.532732386404263
seg_05a1b0,2.7817094314455835
seg_05a4ad,5.858648131415984
seg_05b66a,9.161849698512182
seg_05bef4,1.6673170909300734
seg_05e0d7,5.577615042125835
seg_05f126,9.787966641703434
seg_05f9d6,8.157574860269547
seg_060ce4,2.1793363364355223
seg_061a33,8.82922309393454
seg_0620e6,6.335294374848827
seg_063865,6.5643829070856565
seg_065588,4.158163606924488
seg_06893f,1.9534652230101013
seg_06b8c9,4.3779064666258405
seg_06bbc5,3.0831208761459514
seg_06d4a2,3.233328421006894
